,cluster,count,min,max,mean,sum,categ_0,categ_1,categ_2,categ_3,categ_4,LastPurchase,FirstPurchase,size
0,8.0,2.1587982832618025,194.74922746781115,318.0178111587984,247.88075953743447,575.9449356223172,57.381071631423026,8.076618013871617,18.095180398954888,11.05615248173622,5.3909774740142025,99.05579399141631,167.27038626609442,233
1,4.0,2.4442105263157896,210.7566105263156,374.0994315789472,274.92269002380664,784.2211578947371,5.39934044325222,58.03271046175989,11.574298370306241,11.853504487395753,13.160752422695607,111.61263157894737,175.26315789473685,475
2,0.0,2.43801652892562,219.67475206611599,336.0337417355372,274.49059762114416,701.3065516528927,13.135762065269025,11.451038778940793,56.475878370271076,12.891645380883327,6.0487509801374495,101.70867768595042,172.87190082644628,484
3,7.0,3.0065573770491802,208.3865901639345,412.5695737704919,300.99820538041183,1046.7054426229508,7.090669170155671,9.696536234113715,15.241866631792382,60.53037862339823,7.440549340539979,98.9672131147541,195.64262295081969,305
4,2.0,2.6094182825484764,193.52881163434887,320.3735734072021,249.37110219977757,702.6175373961222,5.295918257715745,19.50124908354355,11.796693108288519,11.788125538724815,51.63364515116394,120.1218836565097,193.06648199445982,361
5,1.0,4.260811709913506,204.85389953426497,507.7949973386563,336.3176437795202,1513.504012641382,14.016181637895768,23.131060538604807,25.87122805406567,22.593614109158015,14.397639684893372,75.55555555555556,205.24950099800398,1503
6,3.0,2.2475247524752477,980.7796534653462,1532.7023316831674,1216.9710389894576,3128.2765891089107,12.144635376983386,26.65974690703688,26.11209546860937,21.31865650095715,13.765199888037033,89.36138613861387,148.95544554455446,202
7,6.0,1.6666666666666667,3480.920833333334,3966.8125000000005,3700.139305555556,5949.600000000001,22.890735930889594,25.40610868237796,20.102624067681205,13.322061584011637,18.278469735039597,68.16666666666667,132.58333333333334,12
8,9.0,56.31818181818182,26.213636363636365,2227.9727272727273,503.4025187535817,27110.887727272722,10.90819727402559,25.647757712883514,20.389455557157433,26.72114176123092,16.34832649111984,17.5,298.77272727272725,22
9,5.0,22.90909090909091,385.75272727272727,16513.428181818184,4601.666145913797,83676.57363636362,6.520520318532342,24.403353082894856,20.20676681770701,28.164709783000976,20.70464999786481,41.0,271.8181818181818,11
